MSTATE,zip_clean,parcel_count,avg_parcel_value,median_parcel_value,total_parcel_value,min_parcel_value,max_parcel_value
NC,28056,7,1275307,418300,8927150,8154,6712147
NC,27207,6,333199,318198,1999194,276945,423348
NC,27508,6,353242,240370,2119451,149550,768578
NC,27807,6,300855,320031,1805132,191349,414003
NC,28453,6,455421,282650,2732523,201137,1156752
NC,28787,6,432095,349696,2592569,190950,745389
NC,27404,6,15475661,720481,92853963,682980,88803655
NC,28278,6,709448,272607,4256688,136000,2446046
NC,27030,6,448168,385679,2689006,331225,707820
NC,28388,6,766808,470539,4600847,177725,2205123
NC,28681,6,435294,382373,2611765,271601,734504
NC,28753,6,302163,299041,1812979,187100,370317
NC,28805,6,473489,430666,2840936,279957,704991
NC,27127,6,771126,442300,4626753,184330,2554602
NC,27553,6,323337,333171,1940024,115000,463247
NC,27909,6,653419,418902,3920512,256544,1377725
NC,27910,6,1138300,524976,6829802,322287,2468497
NC,28376,6,377732,329132,2266391,270660,498800
NC,28630,6,383773,321504,2302636,220632,652618
NC,27863,6,563197,303159,3379179,139971,1461654
NC,28012,6,4531536,329243,27189216,273691,25321672
NC,28079,6,796820,384819,4780921,321862,2885367
NC,27244,6,396348,380327,2378085,267436,526390
NC,27959,5,421208,422355,2106041,235401,531298
NC,28144,5,591763,576659,2958816,325999,958366
NC,28348,5,374778,305478,1873889,273210,528790
NC,28786,5,1325118,511110,6625588,334376,2801135
NC,27533,5,2492982,1568638,12464908,1435564,4319838
NC,28216,5,949668,310181,4748340,109028,3530658
NC,28625,5,370993,321646,1854965,288109,594606
NC,28732,5,465031,491386,2325155,282484,615329
NC,27040,5,349114,383911,1745570,265414,401237
NC,27235,5,486753,472500,2433763,442663,547830
NC,27948,5,366214,296165,1831072,231469,635407
NC,27949,5,496479,462361,2482396,357031,727858
NC,28693,5,359921,320250,1799605,269698,578531
NC,27107,5,262830,286059,1314148,188656,343401
NC,27258,5,972172,422215,4860861,352673,3213285
NC,27569,5,331510,300211,1657549,253820,481614
NC,27573,5,476176,297334,2380880,274100,1211112
NC,27583,5,329036,248228,1645179,102862,590610
NC,27809,5,345498,281262,1727491,263915,551860
NC,27817,5,412586,310427,2062931,278790,635988
