MCITY,MSTATE,MZIP,data_quality_issue
OMAHA,NE,68116-2342,Bad State
LAFAYETTE,LA,70503-5484,Bad State
FAYETTEVILLE,AR,72704-5478,Bad State
FRISCO,TX,75033-3311,Bad State
FRISCO,TX,75036-1211,Bad State
PLANO,TX,75093-7542,Bad State
CEDAR HILL,TX,75106-0398,Bad State
DALLAS,TX,75231-6413,Bad State
DALLAS,TX,75248,Bad State
DALLAS,TX,75252-5663,Bad State
LANTANA,TX,76226-1427,Bad State
KELLER,TX,76248-2175,Bad State
HOUSTON,TX,77005-4023,Bad State
HOUSTON,TX,77014-1345,Bad State
HOUSTON,TX,77043-4718,Bad State
HUMBLE,TX,77346-4140,Bad State
LEANDER,TX,78641-4259,Bad State
AUSTIN,TX,78704-0213,Bad State
AUSTIN,TX,78734-1825,Bad State
DEL RIO,TX,78840-2543,Bad State
AURORA,CO,80011-8953,Bad State
DENVER,CO,80202-1268,Bad State
DENVER,CO,80202-6213,Bad State
DENVER,CO,80206-1402,Bad State
DENVER,CO,80211-5057,Bad State
GEORGETOWN,CO,80444-5061,Bad State
OAK CREEK,CO,80467-8541,Bad State
BOISE,ID,83714-1776,Bad State
SALT LAKE CITY,UT,84102-2007,Bad State
SALT LAKE CITY,UT,84171-6001,Bad State
PHOENIX,AZ,85004-1120,Bad State
PHOENIX,AZ,85012-2072,Bad State
PHOENIX,AZ,85038-9046,Bad State
GILBERT,AZ,85233-6223,Bad State
GILBERT,AZ,85234-7676,Bad State
SCOTTSDALE,AZ,85255-5686,Bad State
HENDERSON,NV,89014-2069,Bad State
LAS VEGAS,NV,89107-2623,Bad State
LAS VEGAS,NV,89121-2257,Bad State
LAS VEGAS,NV,89138-4752,Bad State
LOS ANGELES,CA,90004-1610,Bad State
LOS ANGELES,CA,90071-3151,Bad State
BEVERLY HILLS,CA,90209-5613,Bad State
HAWTHORNE,CA,90251-2274,Bad State
REDONDO BEACH,CA,90278-1414,Bad State
PLAYA DEL REY,CA,90293-8455,Bad State
CYPRESS,CA,90630-3016,Bad State
ARCADIA,CA,91006-1653,Bad State
GLENDALE,CA,91201-2349,Bad State
WESTLAKE VILLAGE,CA,91362-5223,Bad State
SHERMAN OAKS,CA,91423-3422,Bad State
BURBANK,CA,91502-2541,Bad State
COVINA,CA,91723-1722,Bad State
ONTARIO,CA,91761-4846,Bad State
DIAMOND BAR,CA,91765-1486,Bad State
WEST COVINA,CA,91790-2004,Bad State
CARLSBAD,CA,92008-4209,Bad State
CARLSBAD,CA,92013-0339,Bad State
EL CAJON,CA,92020-7873,Bad State
ENCINITAS,CA,92024-5241,Bad State
SAN MARCOS,CA,92078-1052,Bad State
SAN DIEGO,CA,92109-3190,Bad State
SAN DIEGO,CA,92126-1900,Bad State
SAN DIEGO,CA,92127-4422,Bad State
SAN DIEGO,CA,92128-6511,Bad State
SAN DIEGO,CA,92129-4606,Bad State
SAN DIEGO,CA,92130-1305,Bad State
SAN DIEGO,CA,92130-2740,Bad State
RIVERSIDE,CA,92501-1787,Bad State
IRVINE,CA,92620-2230,Bad State
LAGUNA HILLS,CA,92653-5894,Bad State
SAN JUAN CAPISTRANO,CA,92675-4915,Bad State
LAGUNA NIGUEL,CA,92677-7541,Bad State
SIMI VALLEY,CA,93063-3980,Bad State
SHAFTER,CA,93263-2265,Bad State
BURLINGAME,CA,94010-5244,Bad State
HILLSBOROUGH,CA,94010-6706,Bad State
HILLSBOROUGH,CA,94010-7141,Bad State
MENLO PARK,CA,94025-3558,Bad State
REDWOOD CITY,CA,94063-3525,Bad State
SUNNYVALE,CA,94086-5114,Bad State
SUNNYVALE,CA,94087-5801,Bad State
SAN FRANCISCO,CA,94109-0003,Bad State
SAN FRANCISCO,CA,94111-2584,Bad State
SAN FRANCISCO,CA,94114-2129,Bad State
SAN MATEO,CA,94403-4318,Bad State
FOSTER CITY,CA,94404-1720,Bad State
FOSTER CITY,CA,94404-3803,Bad State
DANVILLE,CA,94526-1624,Bad State
FREMONT,CA,94536-4761,Bad State
FREMONT,CA,94536-6508,Bad State
FREMONT,CA,94539-4615,Bad State
FREMONT,CA,94539-5025,Bad State
LIVERMORE,CA,94550-6160,Bad State
CASTRO VALLEY,CA,94552-5460,Bad State
FREMONT,CA,94555-3506,Bad State
NEWARK,CA,94560-5555,Bad State
PLEASANTON,CA,94566-6976,Bad State
SAN RAMON,CA,94582-3079,Bad State
SAN RAMON,CA,94582-5140,Bad State
SAN RAMON,CA,94583-2164,Bad State
PLEASANTON,CA,94588-8370,Bad State
OAKLAND,CA,94609-2369,Bad State
RICHMOND,CA,94807-0191,Bad State
SAN RAFAEL,CA,94901-5255,Bad State
MILL VALLEY,CA,94941-2020,Bad State
PETALUMA,CA,94954-7482,Bad State
CUPERTINO,CA,95014-0449,Bad State
CUPERTINO,CA,95014-3945,Bad State
CUPERTINO,CA,95014-4516,Bad State
CUPERTINO,CA,95014-5235,Bad State
LOS GATOS,CA,95030-3101,Bad State
LOS GATOS,CA,95032-4039,Bad State
MILPITAS,CA,95035-3831,Bad State
MILPITAS,CA,95035-5718,Bad State
SANTA CLARA,CA,95051-6813,Bad State
SARATOGA,CA,95070,Bad State
SARATOGA,CA,95070-3827,Bad State
SARATOGA,CA,95070-5677,Bad State
SAN JOSE,CA,95120-1739,Bad State
SAN JOSE,CA,95122-4405,Bad State
SAN JOSE,CA,95125-4568,Bad State
SAN JOSE,CA,95127-5201,Bad State
SAN JOSE,CA,95133-1794,Bad State
SAN JOSE,CA,95136-3781,Bad State
STOCKTON,CA,95206-5210,Bad State
STOCKTON,CA,95219-2032,Bad State
TRACY,CA,95376-8308,Bad State
FOLSOM,CA,95630-7322,Bad State
LOOMIS,CA,95650-8042,Bad State
ROSEVILLE,CA,95661-6055,Bad State
KANEOHE,HI,96744-2036,Bad State
KANEOHE,HI,96744-2750,Bad State
PORTLAND,OR,97219-1643,Bad State
PORTLAND,OR,97229-4662,Bad State
BEND,OR,97703-7752,Bad State
COVE,OR,97824-0327,Bad State
BELLEVUE,WA,98006-4384,Bad State
REDMOND,WA,98052-1265,Bad State
SNOQUALMIE,WA,98065-8907,Bad State
SAMMAMISH,WA,98074-5107,Bad State
ANCHORAGE,AK,99507-1276,Bad State
STERLING,AK,99672-9402,Bad State
HAINES,AK,99827-0473,Bad State
BOXBOROUGH,MA,01719-1242,Bad State
CANTON,MA,02021-2072,Bad State
FRANKLIN,MA,02038-2831,Bad State
SHARON,MA,02067-3133,Bad State
BOSTON,MA,02109-1812,Bad State
NASHUA,NH,03062-3080,Bad State
FITZWILLIAM,NH,03447-3155,Bad State
STAMFORD,CT,06902-8928,Bad State
WATCHUNG,NJ,07069-6150,Bad State
CEDAR KNOLLS,NJ,07927-2053,Bad State
MOUNT LAUREL,NJ,08054-4611,Bad State
PRINCETON,NJ,08540-7337,Bad State
EDISON,NJ,08820-2908,Bad State
EDISON,NJ,08820-3488,Bad State
NEW YORK,NY,10013-5347,Bad State
NEW YORK,NY,10166-0025,Bad State
BRONX,NY,10465-1720,Bad State
RYE BROOK,NY,10573-2828,Bad State
SOUTH SALEM,NY,10590-1509,Bad State
MONROE,NY,10950-3000,Bad State
GREAT NECK,NY,11021-5320,Bad State
BROOKLYN,NY,11218-3750,Bad State
BROOKLYN,NY,11222-2432,Bad State
FOREST HILLS,NY,11375-4526,Bad State
EAST MEADOW,NY,11554-4013,Bad State
BABYLON,NY,11702-4211,Bad State
DEER PARK,NY,11729-2031,Bad State
JERICHO,NY,11753-2122,Bad State
EAST SYRACUSE,NY,13057-3078,Bad State
UTICA,NY,13502-6706,Bad State
BALA CYNWYD,PA,19004-2122,Bad State
PHILADELPHIA,PA,19125-3216,Bad State
CHANTILLY,VA,20151-4203,Bad State
HAYMARKET,VA,20169-3228,Bad State
HAYMARKET,VA,20169-3275,Bad State
ARNOLD,MD,21012-3024,Bad State
CLARKSVILLE,MD,21029-1473,Bad State
ELLICOTT CITY,MD,21043-7459,Bad State
MC LEAN,VA,22102-3588,Bad State
CHESAPEAKE,VA,23321-1311,Bad State
ROANOKE,VA,24015-5412,Bad State
SOUTH BOSTON,VA,24592-5051,Bad State
CHARLES TOWN,WV,25414-5986,Bad State
MAULDIN,SC,29662-2597,Bad State
BLUFFTON,SC,29910-4724,Bad State
DECATUR,GA,30030-3542,Bad State
ROSWELL,GA,30076-4375,Bad State
NORCROSS,GA,30092-2946,Bad State
SANDY SPRINGS,GA,30328-8144,Bad State
ATLANTA,GA,30338-5534,Bad State
ATLANTA,GA,30339-5062,Bad State
BUFORD,GA,30518-3272,Bad State
ORLANDO,FL,32801-3339,Bad State
HOLLYWOOD,FL,33020-5018,Bad State
PEMBROKE PINES,FL,33025-4700,Bad State
